text_unit_id,1st_element
論語集註大全-八佾-24-01,"<canon id=""論語-八佾-24-01"">○儀封人請見，曰：「君子之至於斯也，吾未嘗不得見也。」從者見之。出曰：「二三子何患於喪乎？天下之無道也久矣，天將以夫子爲木鐸。」</canon>"
論語集註大全-八佾-25-01,"<canon id=""論語-八佾-25-01"">○子謂韶：「盡美矣，又盡善也。」謂武：「盡美矣，未盡善也。」</canon>"
論語集註大全-八佾-26-01,"<canon id=""論語-八佾-26-01"">○子曰：「居上不寬，爲禮不敬，臨喪不哀，吾何以觀之哉？」</canon>"
論語集註大全-里仁,"<heading id=""論語-里仁"">論語集註大全 / 里仁</heading>"
論語集註大全-里仁-01-01,"<canon id=""論語-里仁-01-01"">○子曰：「里仁爲美。擇不處仁，焉得知？」</canon>"
論語集註大全-里仁-02-01,"<canon id=""論語-里仁-02-01"">○子曰：「不仁者不可以久處約，不可以長處樂。仁者安仁，知者利仁。」</canon>"
論語集註大全-里仁-03-01,"<canon id=""論語-里仁-03-01"">○子曰：「惟仁者能好人，能惡人。」</canon>"
論語集註大全-里仁-04-01,"<canon id=""論語-里仁-04-01"">○子曰：「苟志於仁矣，無惡也。」</canon>"
論語集註大全-里仁-05-01,"<canon id=""論語-里仁-05-01"">○子曰：「富與貴，是人之所欲也，不以其道得之，不處也；貧與賤，是人之所惡也，不以其道得之，不去也。</canon>"
論語集註大全-里仁-05-02,"<canon id=""論語-里仁-05-02"">君子去仁，惡乎成名？</canon>"
論語集註大全-里仁-05-03,"<canon id=""論語-里仁-05-03"">君子無終食之間違仁，造次必於是，顚沛必於是。」</canon>"
論語集註大全-里仁-06-01,"<canon id=""論語-里仁-06-01"">○子曰：「我未見好仁者，惡不仁者。好仁者，無以尙之；惡不仁者，其爲仁矣，不使不仁者加乎其身。</canon>"
論語集註大全-里仁-06-02,"<canon id=""論語-里仁-06-02"">有能一日用其力於仁矣乎？我未見力不足者。</canon>"
論語集註大全-里仁-06-03,"<canon id=""論語-里仁-06-03"">蓋有之矣，我未之見也。」</canon>"
